2.000000000000000000e+00 1.675863697334278868e-02 2.982327051973876308e+01 1.057375314618210327e+00 -2.020580254797526010e+01 1.824705331157607794e+09 4.327402227880286034e+01
3.000000000000000000e+00 5.132860479094780715e-03 -2.418416290228542209e+00 3.903837505484730741e+00 -1.764119820041662834e+01 1.660856891725570440e+09 4.717769320546636180e+01
4.000000000000000000e+00 -1.981814878356580323e-03 -2.658867920335206136e+01 6.190272255226651588e+00 -1.459906643770283452e+01 1.426320197326163054e+09 4.672125886940037276e+01
5.000000000000000000e+00 -6.144760219271461210e-03 -4.345167534616778227e+01 7.261073721214206245e+00 -1.166228453454056790e+01 1.178619387378367901e+09 4.304052715690504982e+01
6.000000000000000000e+00 -8.086089585702893601e-03 -5.258757716373130364e+01 7.469571502112100525e+00 -9.086328936867005268e+00 9.463699659429636002e+08 3.715253288650630736e+01
7.000000000000000000e+00 -7.504498278992244309e-03 -5.264742912837905209e+01 7.154104404401969042e+00 -7.036961102158723058e+00 7.537189653225383759e+08 2.997900446482920600e+01
8.000000000000000000e+00 -5.553878853877591837e-03 -4.628524632252467086e+01 6.249803498301768734e+00 -5.553243633919824340e+00 6.120247120441901684e+08 2.254459506955963732e+01
9.000000000000000000e+00 -2.437717243557013802e-03 -3.584305342889171442e+01 4.969969370430075806e+00 -4.589200734579845786e+00 5.217693987626547813e+08 1.562663767892586897e+01
1.000000000000000000e+01 5.485671679519299460e-04 -2.487259012147552184e+01 3.537282631758416951e+00 -4.050933772703224633e+00 4.757156807788409591e+08 9.932135565269017974e+00
1.100000000000000000e+01 2.109434130717513511e-03 -1.661101216172244932e+01 2.149492937735697495e+00 -3.835428684900521468e+00 4.646436323064506650e+08 5.987792679915032501e+00
1.200000000000000000e+01 2.516259372646878489e-03 -1.133550615569162012e+01 9.997942325202420211e-01 -3.839717000017039972e+00 4.775853198809021115e+08 3.594777067859111774e+00
1.300000000000000000e+01 2.432147661490802193e-03 -8.583266501616948929e+00 2.802415105971345355e-01 -3.960841630823552784e+00 5.031358037023858428e+08 2.372872806364523246e+00
1.400000000000000000e+01 2.403610898953800756e-03 -7.872867615371370142e+00 1.242192055221173208e-01 -4.112275999174119789e+00 5.317202586301505566e+08 1.966750246364468158e+00
1.500000000000000000e+01 2.510789335904650699e-03 -8.648403655403258838e+00 4.304295814183678459e-01 -4.273215612340242053e+00 5.610843340752325058e+08 2.120624801471127086e+00
1.600000000000000000e+01 2.717230367850209660e-03 -1.033534880593461835e+01 1.038904369105031478e+00 -4.439286502129857759e+00 5.908037977892743349e+08 2.603598151784158876e+00
